,item_url,manufacturer,new_price,part_no
51,https://www.radwell.com/en-US/Buy/GENERAL%20ELECTRIC/GENERAL%20ELECTRIC/10,GENERAL ELECTRIC,$2.54,10
52,https://www.radwell.com/en-US/Buy/SPECTRO/SPECTRO/10,SPECTRO,$1.13,10
53,https://www.radwell.com/en-US/Buy/CUSTOM%20CONTROL%20SENSORS/CUSTOM%20CONTROL%20SENSORS/10,CUSTOM CONTROL SENSORS,As Low As,10
54,https://www.radwell.com/en-US/Buy/HEWLETT%20PACKARD%20COMPUTER/HEWLETT%20PACKARD%20COMPUTER/10,HEWLETT PACKARD COMPUTER,$52.50,10
55,https://www.radwell.com/en-US/Buy/VAC%20CUBES/VAC%20CUBES/10,VAC CUBES,As Low As,10
56,https://www.radwell.com/en-US/Buy/SANKEI%20ENGINEERING/SANKEI%20ENGINEERING/10,SANKEI ENGINEERING,As Low As,10
57,https://www.radwell.com/en-US/Buy/ALTRA%20INDUSTRIAL%20MOTION/TB%20WOODS%20MECHANICAL/10,ALTRA INDUSTRIAL MOTION,As Low As,10
58,https://www.radwell.com/en-US/Buy/EATON%20CORPORATION/WEATHERHEAD/10,EATON CORPORATION,$2.33,10
59,https://www.radwell.com/en-US/Buy/ELECTROSWITCH/ELECTROSWITCH/10,ELECTROSWITCH,$4.81,10
60,https://www.radwell.com/en-US/Buy/NETWORK%20SUPPLY/NETWORK%20SUPPLY/10,NETWORK SUPPLY,Call For Availability,10
61,https://www.radwell.com/en-US/Buy/MARKLAND/MARKLAND/10,MARKLAND,Call For Availability,10
62,https://www.radwell.com/en-US/Buy/DANAHER%20CONTROLS/WEST%20INSTRUMENTS/10,DANAHER CONTROLS,Call For Availability,10
63,https://www.radwell.com/en-US/Buy/LIMITORQUE/LIMITORQUE/10,LIMITORQUE,Call For Availability,10
64,https://www.radwell.com/en-US/Buy/WATLOW/WATLOW/10,WATLOW,$375.89,10
65,https://www.radwell.com/en-US/Buy/VOLEX/VOLEX/10,VOLEX,$14.15,10
66,https://www.radwell.com/en-US/Buy/FIBOX/FIBOX/10,FIBOX,$37.30,10
